"idRam";"registro";"hora"
990;68.0;"2022-10-24 22:04:37"
991;68.0;"2022-10-24 22:04:38"
992;68.1;"2022-10-24 22:04:39"
993;67.7;"2022-10-24 22:04:40"
994;67.7;"2022-10-24 22:04:41"
995;67.5;"2022-10-24 22:04:42"
996;67.6;"2022-10-24 22:04:43"
997;67.7;"2022-10-24 22:04:44"
998;67.5;"2022-10-24 22:04:45"
999;67.4;"2022-10-24 22:04:46"
1000;67.5;"2022-10-24 22:04:47"
1001;67.5;"2022-10-24 22:04:48"
1002;67.7;"2022-10-24 22:04:50"
1003;67.7;"2022-10-24 22:04:51"
1004;67.8;"2022-10-24 22:04:52"
1005;67.6;"2022-10-24 22:04:53"
1006;67.6;"2022-10-24 22:04:54"
1007;67.6;"2022-10-24 22:04:55"
1008;67.6;"2022-10-24 22:04:56"
1009;67.6;"2022-10-24 22:04:57"
1010;67.8;"2022-10-24 22:04:59"
1011;67.8;"2022-10-24 22:05:00"
1012;67.9;"2022-10-24 22:05:01"
1013;67.8;"2022-10-24 22:05:02"
1014;67.7;"2022-10-24 22:05:03"
1015;68.0;"2022-10-24 22:05:04"
1016;68.0;"2022-10-24 22:05:05"
1017;67.8;"2022-10-24 22:05:06"
1018;67.8;"2022-10-24 22:05:07"
1019;67.9;"2022-10-24 22:05:09"
1020;67.8;"2022-10-24 22:05:10"
1021;67.5;"2022-10-24 22:05:11"
1022;68.0;"2022-10-24 22:05:12"
1023;68.1;"2022-10-24 22:05:13"
1024;67.9;"2022-10-24 22:05:14"
1025;67.8;"2022-10-24 22:05:15"
1026;67.9;"2022-10-24 22:05:16"
1027;67.8;"2022-10-24 22:05:17"
1028;67.8;"2022-10-24 22:05:18"
1029;67.7;"2022-10-24 22:05:19"
1030;67.7;"2022-10-24 22:05:21"
1031;67.6;"2022-10-24 22:05:22"
1032;67.8;"2022-10-24 22:05:23"
1033;67.7;"2022-10-24 22:05:24"
1034;67.9;"2022-10-24 22:05:25"
1035;67.9;"2022-10-24 22:05:27"
1036;67.8;"2022-10-24 22:05:28"
1037;67.6;"2022-10-24 22:05:29"
1038;67.8;"2022-10-24 22:05:30"
1039;67.8;"2022-10-24 22:05:31"
1040;67.8;"2022-10-24 22:05:32"
1041;67.8;"2022-10-24 22:05:33"
1042;67.8;"2022-10-24 22:05:34"
1043;67.8;"2022-10-24 22:05:36"
1044;68.3;"2022-10-24 22:05:38"
1045;68.7;"2022-10-24 22:05:39"
1046;68.3;"2022-10-24 22:05:40"
1047;68.4;"2022-10-24 22:05:41"
1048;68.4;"2022-10-24 22:05:42"
1049;68.3;"2022-10-24 22:05:43"
1050;67.9;"2022-10-24 22:05:44"
1051;68.2;"2022-10-24 22:05:45"
1052;68.2;"2022-10-24 22:05:46"
1053;68.3;"2022-10-24 22:05:48"
1054;68.2;"2022-10-24 22:05:49"
1055;68.4;"2022-10-24 22:05:50"
1056;68.3;"2022-10-24 22:05:51"
1057;68.5;"2022-10-24 22:05:53"
1058;68.8;"2022-10-24 22:05:54"
1059;68.6;"2022-10-24 22:05:55"
1060;68.8;"2022-10-24 22:05:56"
1061;68.5;"2022-10-24 22:05:57"
