"idCpu";"registro";"hora"
246;11.5;"2022-10-24 21:50:13"
247;20.1;"2022-10-24 21:50:14"
248;18.9;"2022-10-24 21:50:15"
249;32.4;"2022-10-24 21:50:16"
250;25.4;"2022-10-24 21:50:17"
251;29.2;"2022-10-24 21:50:19"
252;16.2;"2022-10-24 21:50:20"
253;23.1;"2022-10-24 21:50:21"
254;19.5;"2022-10-24 21:50:22"
255;13.4;"2022-10-24 21:50:23"
256;7.6;"2022-10-24 21:50:24"
257;4.6;"2022-10-24 21:50:25"
258;5.4;"2022-10-24 21:50:26"
259;8.8;"2022-10-24 21:50:27"
260;17.3;"2022-10-24 21:50:28"
261;20.2;"2022-10-24 21:50:29"
262;26.6;"2022-10-24 21:50:30"
263;14.9;"2022-10-24 21:50:31"
264;10.3;"2022-10-24 21:50:32"
265;7.3;"2022-10-24 21:50:33"
266;3.1;"2022-10-24 21:50:35"
267;2.7;"2022-10-24 21:50:36"
268;5.8;"2022-10-24 21:50:37"
269;7.3;"2022-10-24 21:50:38"
270;10.5;"2022-10-24 21:50:39"
271;7.3;"2022-10-24 21:50:40"
272;9.5;"2022-10-24 21:50:42"
273;4.3;"2022-10-24 21:50:43"
274;7.7;"2022-10-24 21:50:44"
275;3.9;"2022-10-24 21:50:45"
276;2.3;"2022-10-24 21:50:46"
277;6.9;"2022-10-24 21:50:47"
278;5.0;"2022-10-24 21:50:48"
279;15.6;"2022-10-24 21:50:49"
280;8.8;"2022-10-24 21:50:50"
281;2.7;"2022-10-24 21:50:51"
282;6.9;"2022-10-24 21:50:52"
283;3.1;"2022-10-24 21:50:53"
284;4.2;"2022-10-24 21:50:55"
285;3.5;"2022-10-24 21:50:56"
286;4.7;"2022-10-24 21:50:57"
287;40.4;"2022-10-24 21:50:58"
288;17.4;"2022-10-24 21:50:59"
289;35.3;"2022-10-24 21:51:00"
290;70.6;"2022-10-24 21:51:01"
291;34.1;"2022-10-24 21:51:03"
292;26.8;"2022-10-24 21:51:04"
293;63.9;"2022-10-24 21:51:05"
294;22.0;"2022-10-24 21:51:06"
295;88.3;"2022-10-24 21:51:07"
296;83.2;"2022-10-24 21:51:08"
297;55.9;"2022-10-24 21:51:10"
298;34.2;"2022-10-24 21:51:11"
299;54.9;"2022-10-24 21:51:12"
300;87.9;"2022-10-24 21:51:13"
301;98.8;"2022-10-24 21:51:14"
302;63.0;"2022-10-24 21:51:15"
303;16.2;"2022-10-24 21:51:16"
304;21.3;"2022-10-24 21:51:17"
305;48.3;"2022-10-24 21:51:18"
306;71.2;"2022-10-24 21:51:20"
307;77.9;"2022-10-24 21:51:21"
308;64.6;"2022-10-24 21:51:22"
309;48.5;"2022-10-24 21:51:23"
310;33.6;"2022-10-24 21:51:25"
311;17.0;"2022-10-24 21:51:26"
312;41.6;"2022-10-24 21:51:27"
