"idTemp";"registro";"hora"
822;36.0;"2022-10-24 22:40:48"
823;38.0;"2022-10-24 22:40:49"
824;40.0;"2022-10-24 22:40:51"
825;38.0;"2022-10-24 22:40:52"
826;38.0;"2022-10-24 22:40:53"
827;37.0;"2022-10-24 22:40:54"
828;38.0;"2022-10-24 22:40:55"
829;36.0;"2022-10-24 22:40:56"
830;37.0;"2022-10-24 22:40:57"
831;37.0;"2022-10-24 22:40:58"
832;37.0;"2022-10-24 22:41:00"
833;39.0;"2022-10-24 22:41:01"
834;37.0;"2022-10-24 22:41:02"
835;36.0;"2022-10-24 22:41:03"
836;37.0;"2022-10-24 22:41:04"
837;37.0;"2022-10-24 22:41:05"
838;36.0;"2022-10-24 22:41:06"
839;36.0;"2022-10-24 22:41:07"
840;36.0;"2022-10-24 22:41:08"
841;36.0;"2022-10-24 22:41:09"
842;36.0;"2022-10-24 22:41:10"
843;35.0;"2022-10-24 22:41:11"
844;35.0;"2022-10-24 22:41:13"
845;37.0;"2022-10-24 22:41:14"
846;36.0;"2022-10-24 22:41:15"
847;36.0;"2022-10-24 22:41:16"
848;36.0;"2022-10-24 22:41:17"
849;36.0;"2022-10-24 22:41:18"
850;37.0;"2022-10-24 22:41:19"
851;35.0;"2022-10-24 22:41:20"
852;36.0;"2022-10-24 22:41:21"
853;36.0;"2022-10-24 22:41:22"
854;36.0;"2022-10-24 22:41:23"
855;36.0;"2022-10-24 22:41:24"
856;36.0;"2022-10-24 22:41:25"
857;36.0;"2022-10-24 22:41:27"
858;36.0;"2022-10-24 22:41:28"
859;37.0;"2022-10-24 22:41:29"
860;39.0;"2022-10-24 22:41:30"
861;40.0;"2022-10-24 22:41:31"
862;44.0;"2022-10-24 22:41:32"
863;41.0;"2022-10-24 22:41:33"
864;43.0;"2022-10-24 22:41:34"
865;47.0;"2022-10-24 22:41:35"
866;47.0;"2022-10-24 22:41:36"
867;45.0;"2022-10-24 22:41:37"
868;40.0;"2022-10-24 22:41:38"
869;40.0;"2022-10-24 22:41:40"
870;41.0;"2022-10-24 22:41:41"
871;43.0;"2022-10-24 22:41:42"
872;43.0;"2022-10-24 22:41:43"
873;43.0;"2022-10-24 22:41:44"
874;40.0;"2022-10-24 22:41:45"
875;41.0;"2022-10-24 22:41:46"
876;43.0;"2022-10-24 22:41:47"
877;44.0;"2022-10-24 22:41:48"
878;42.0;"2022-10-24 22:41:49"
879;43.0;"2022-10-24 22:41:50"
880;39.0;"2022-10-24 22:41:52"
881;41.0;"2022-10-24 22:41:53"
882;41.0;"2022-10-24 22:41:54"
883;46.0;"2022-10-24 22:41:55"
884;38.0;"2022-10-24 22:41:56"
885;41.0;"2022-10-24 22:41:57"
886;42.0;"2022-10-24 22:41:58"
887;41.0;"2022-10-24 22:41:59"
888;42.0;"2022-10-24 22:42:00"
889;45.0;"2022-10-24 22:42:01"
890;41.0;"2022-10-24 22:42:02"
891;41.0;"2022-10-24 22:42:03"
892;39.0;"2022-10-24 22:42:05"
893;43.0;"2022-10-24 22:42:06"
894;42.0;"2022-10-24 22:42:07"
895;46.0;"2022-10-24 22:42:08"
896;39.0;"2022-10-24 22:42:09"
897;41.0;"2022-10-24 22:42:10"
898;42.0;"2022-10-24 22:42:11"
899;42.0;"2022-10-24 22:42:12"
900;43.0;"2022-10-24 22:42:13"
901;42.0;"2022-10-24 22:42:14"
902;41.0;"2022-10-24 22:42:15"
903;39.0;"2022-10-24 22:42:17"
904;41.0;"2022-10-24 22:42:18"
905;39.0;"2022-10-24 22:42:19"
906;42.0;"2022-10-24 22:42:20"
907;42.0;"2022-10-24 22:42:21"
908;41.0;"2022-10-24 22:42:22"
909;39.0;"2022-10-24 22:42:23"
910;42.0;"2022-10-24 22:42:24"
911;38.0;"2022-10-24 22:42:25"
912;46.0;"2022-10-24 22:42:26"
913;41.0;"2022-10-24 22:42:27"
914;40.0;"2022-10-24 22:42:29"
915;41.0;"2022-10-24 22:42:30"
916;44.0;"2022-10-24 22:42:31"
917;44.0;"2022-10-24 22:42:32"
918;43.0;"2022-10-24 22:42:33"
919;44.0;"2022-10-24 22:42:34"
920;42.0;"2022-10-24 22:42:35"
921;41.0;"2022-10-24 22:42:36"
